# dictionary from http://www.esperanto-panorama.net/vortaro/eoen.htm
# Rimarkoj al: XGodivier"@"esperanto.org. (sen " ")
# Link to this page: Por fari ligon al tiu TTT-ejo:
# http://purl.org/net/panorama/vortaro/eoen.htm (unicode)
# http://purl.org/net/panorama/vortaro/xeoen.htm (x) 
        abako                          abacus
        bankrotinto                    bankrupt
        bankroto                       bankruptcy, failure
        bankrotulo                     bankrupt
        banksaldo                      balance, balance with a bank
        banksekreto                    banking secret
        bankuracejo                    health resort
        bankuvo                        bath
        bano                           bath
        banspongo                      bathing-sponge
        banŝio                         banshee
        bantua                         Bantu
        bantuo                         Bantu
        banurbo                        spa
        baobabo                        baobab
        baptejo                        baptistery
        bapti                          baptize, christen
        baptisto                       baptist
        bapto                          baptism, christening
        baptonomo                      Christian name
        baptopatro                     godfather
        baraĵo                         dam
        barako                         barrack, barn, shack, shanty, shed
        barakti                        flounder, struggle, writhe
        barba                          bearded
        barba dianto                   sweet william
        barbadosa                      Barbadian
        barbadosanino                  Barbadian woman
        barbadosano                    Barbadian
        Barbadoso                      Barbados
        barbara                        barbaric
        barbaraĵo                      barbarity
        barbareco                      barbarity, barbarousness
        Barbario                       Barbary
        barbarismo                     barbarism
        barbaro                        barbarian
        barbfiŝo                       barbel
        barbhava                       bearded
        barbio                         barbel
        barbiro                        barber
        barbisto                       barber
        barbiturato                    barbiturate
        barbo                          beard
        Barcelono                      Barcelona
        barĉo                          borscht, borstch
        bardo                          bard
        bareliefo                      bas-relief, low relief
        barelo                         barrel
        Barencmaro                     Barents Sea
        barĝestro                      barge-master
        barĝo                          barge
        bari                           bar, obstruct
        bariergardisto                 signalman
        bariero                        barrier
        barikadi                       barricade
        barikado                       barricade
        barila digo                    dam
        barilo                         barrier, fence
        barilpordo                     gate
        bario                          barium
        Barita Mozo                    Dammed Meuse
        baritono                       baritone
        baritonulo                     baritone
        bariumo                        barium
        barko                          bark, barque
        Barnabaso                      Barnabas
        baro                           bar, barrier
        baroka                         baroque
        baroko                         baroque
        barometra alto                 barometer reading, height of the barometer
        barometro                      barometer
        baronino                       baroness
        baronlando                     barony
        barono                         baron
        barto                          busk, steel
        basa                           deep
        basbalo                        baseball
        baseno                         basin, reservoir
        basiero                        bear
        basigisto                      bear
        basketbalo                     basketball
        baskulo                        weighing machine
        basludanto                     bass player
        baso                           bass, bass voice
        Basro                          Basrah
        bastarda                       bastard
        bastardeco                     bastardy
        bastardo                       bastard
        bastiono                       bastion
        basto                          bast
        bastonadi                      beat, beat up, flog, thrash, whack
        bastoneto                      stick, little stick
        bastono                        baton, cane, stick
        basulo                         bass
        basviolono                     bass-viol, violoncello
        batadi                         clatter
        batalema                       truculent
        batali                         fight, struggle
        bataliono                      battalion
        batalo                         battle, scuffle, struggle
        batava                         Batavian
        batavo                         Batavian
        bategi                         thrash
        baterio                        battery
        bati                           beat, hit, strike
        batiki                         batik
        batisto                        batiste, cambric, lawn
        batita kremo                   whipped cream
        bato                           blow
        baŭdo                          baud
        baŭksito                       bauxite
        bavara                         Bavarian
        Bavario                        Bavaria
        bavaro                         Bavarian
        Bavarujo                       Bavaria
        baza                           basic
        baza salajro                   basic wage
        bazalto                        basalt, whimstone
        bazaro                         bazaar, fair, market
        Bazelo                         Basel, Basle
        bazi                           base
        baziliko                       basilica
        bazilio                        basil
        bazo                           base, basis
        bazopilkludo                   baseball
        bazuko                         anti-tank gun, bazooka
        bebo                           baby
        bebofono                       baby intercom, baby phone
        bebovartantino                 baby-sitter
        bebovartanto                   baby-sitter
        bedaŭri                        be sorry about, regret
        bedaŭriga                      miserable
        bedaŭrinda                     regrettable
        bedaŭrinde                     regrettably, unfortunately
        bedaŭro                        regret
        bedo                           bed
        bedueno                        Bedouin, Beduin
        beginejo                       beguinage
        begino                         beguine
        begonio                        begonia
        bekerelo                       becquerel
        beko                           beak, bill
        bela                           beautiful, fine, handsome, lovely
        beladono                       belladonna
        bele                           beautifully
        beleco                         beauty
        belega                         lovely
        beleta                         pretty
        beletaĝo                       ground floor
        beletre klera                  well-read
        beletristiko                   belles-lettres
        beletro                        belles-lettres
        Belfasto                       Belfast
        belfrido                       belfry, bell tower
        belga                          Belgian
        belgino                        Belgian, Belgian woman
        Belgio                         Belgium
        belgo                          Belgian
        Belgujo                        Belgium
        beliza                         Belizian
        belizanino                     Belizian, Belizian lady, Belizian woman
        belizano                       Belizian
        Belizo                         Belize
        belo                           bel
        belsona                        euphonious
        belulino                       beautiful woman, beauty
        bemolo                         flat
        bendi                          tape
        bendo                          binding, strip, tape
        benediktano                    Benedictine, Benedictine monk
        benediktanto                   Benedictine
        benefico                       benefit performance
        Benelukso                      Benelux
        bengala                        Bengal
        bengala fajro                  bengal-light, bengal-lights
        Bengala Golfo                  Bay of Bengal
        Bengalio                       Bengal
        Bengalujo                      Bengal
        beni                           bless
        benigna                        benign
        benina                         Beninese
        beninanino                     Beninese woman
        beninano                       Beninese
        Benino                         Benin
        benketo                        small bench, stool
        benko                          bench
        benkseĝaro                     lounge suite, three-piece suite
        beno                           blessing, boon
        benzeno                        benzene
        benzinbombo                    Molotov cocktail
        benzincisterno                 fuel tank
        benzinkruĉo                    petrol can
        benzinmezurilo                 petrol gauge
        benzinmotoro                   petrol engine
        benzinnivela indikilo          petrol gauge
        benzino                        gasolene, gasoline, petrol
        benzinstacio                   filling station
        benzinujo                      gas tank, petrol tank
        Beogrado                       Belgrade
        berberiso                      barberry
        berbero                        Berber
        bergamoto                      bergamot
        bergamotoleo                   bergamot
        Berĥeno                        Mons
        berilio                        beryllium
        berilo                         beryl
        berilŝtono                     beryl
        Beringomaro                    Bering Sea
        berlina                        Berlin
        berlinanino                    Berliner, Berlin lady, Berlin woman
        berlinano                      Berliner
        Berlino                        Berlin
        bermo                          shoulder, verge, verge of a road
        Bermudoj                       Bermudas
        berna                          Bernese
        bernano                        Bernese
        Berno                          Bern, Berne
        bero                           berry
        Berviko ĉe la Tvido            Berwick upon Tweed
        Besarabio                      Bessarabia
        Besarabujo                     Bessarabia
        besta                          beastly, bestial
        bestaĉo                        monster
        besteca                        beastly, bestial
        bestejo                        pen, sty
        bestia                         beastly, bestial, brutal, brutish
        bestio                         beast, brute, wild animal
        bestkuracisto                  veterinarian
        besto                          animal, beast
        beta                           beet, beet-, of a beet
        Betleĥemo                      Bethlehem
        beto                           beet
        betono                         concrete
        betsukero                      beet sugar, beetroot sugar
        betulo                         birch
        bezona                         necessary
        bezonaĵo                       requisite
        bezonaĵoj                      materials, necessaries, requisites
        bezonata                       necessary
        bezoni                         need, require
        bezono                         need, want
        Biblio                         Bible
        bibliografio                   bibliography
        bibliotekisto                  librarian
        biblioteko                     library
        bicikli                        cycle
        biciklo                        bike, cycle, bicycle
        biciklosako                    cycle-bag
        bido                           bead
        bienisto                       farmer, rancher
        bieno                          estate, farm, property, ranch
        biero                          ale, beer
        bifsteko                       steak, beefsteak
        bikino                         bikini
        bilanco                        balance sheet
        bilardo                        billiards
        bildekrano                     screen
        bildero                        pixel
        bildkarto                      picture postcard
        bildo                          image, picture
        bildodetruo                    iconoclasm
        bildotubo                      cathode tube
        bildsimbolo                    icon
        bildtubo                       cathode tube
        bildvalvo                      cathode tube
        biletgiĉeto                    booking-office
        bileto                         bill, ticket, note
        binara                         binary
        bindaĵo                        binding, cover
        bindi                          bind
        bindo                          binding, cover
        binoklo                        binoculars
        biografo                       biographer
        biologo                        biologist
        birdaĵo                        fowl, poultry
        birdaro                        birds
        birdejo                        aviary
        birdeto                        little bird
        birdo                          bird
        bireto                         beret
        Birkenhedo                     Birkenhead
        birma                          Burmese
        birmanino                      Burmese woman
        birmano                        Burmese
        Birmo                          Burma
        bis                            encore, one more time
        Bisaŭo                         Bissau
        biskoto                        bicuit
        biskvito                       biscuit, cookie
        bismuto                        bismuth
        bitmatrico                     bitmap
        bito                           bit
        bitoko                         byte
        bizanca                        Byzantine
        bizancano                      Byzantine
        Bizanco                        Byzantium
        bizara                         bizarre, odd, weird
        bizono                         bison
        Bjelorusio                     White Russia
        Bjelorusujo                    White Russia
        blagi                          kid, pull someone's leg
        blago                          sly joke
        Blakpulo                       Blackpool
        blanka                         blank, white
        blanka argilo                  white clay
        Blanka Maro                    White Sea
        Blanka Nilo                    White Nile
        blanka poplo                   abele
        blanketo                       blank cheque, carte blanche
        blankigi                       blanch, whiten
        blanko                         white
        blankulo                       European, white man
        blasfemanto                    blasphemer
        blasfemi                       blaspheme, cuss, curse, swear
        blasfemo                       blasphemy
        blato                          cockroach
        blazo                          blister
        bleki                          bellow, bleat, neigh
        blinda                         blind
        blindeco                       blindness
        blindigi                       dazzle
        blindulo                       blind, sightless person
        blindumi                       dazzle
        blokado                        blockade
        bloketo                        bit
        bloki                          block, blockade
        bloklavo                       aa lava, block lava
        bloko                          block, pad
        blonda                         blond, fair
        bloveksciti                    stir up
        blovi                          blow
        blovinstrumento                wind instrument, wind-instrument
        blua                           blue
        Blua Nilo                      Blue Nile
        Blubarbulo                     Bluebeard
        bluo                           blue
        bluzo                          blouse
        bo-                            by marriage, -in-law
        Boacolago                      Reindeer Lake
        boao                           boa
        boateto                        little boat
        boato                          boat
        bobeli                         bubble
        bobelo                         bubble
        bobeni                         wind
        bobeno                         bobbin, coil, spool
        Bocvano                        Bechuanaland, Botswana
        Bodenlago                      Bodensee, Constance
        bofilo                         son-in-law
        Boformaro                      Beaufort Sea
        bofrato                        brother-in-law
        bogepatroj                     parents-in-law
        bohema                         Bohemian
        Bohemio                        Bohemia
        bohemo                         Bohemian
        Bohemujo                       Bohemia
        bojegi                         bark, bay
        boji                           bark
        bojminaci                      bay at, bark at
        boksi                          box
        boksisto                       boxer
        bokso                          boxing
        boleti                         simmer
        boli                           boil
        boligi                         boil
        bolilo                         kettle
        bolivia                        Bolivian
        bolivianino                    Bolivian woman
        boliviano                      Bolivian
        Bolivio                        Bolivia
        bolkruĉo                       kettle
        bolŝeviko                      Bolshevik
        bolŝevisto                     Bolshevik
        boltingo                       nut
        bombardi                       bombard
        Bombejo                        Bombay
        bombi                          bomb
        bombikso                       silkworm
        bombo                          bomb
        bombono                        bonbon, bon-bon
        bona                           good, nice, okay
        bonan matenon                  good morning
        bonan nokton                   good night
        bonan posttagmezon             good afternoon
        bonan ŝancon                   good luck
        bonan tagon                    good day
        bonan vesperon                 good evening
        bonaspekta                     good-looking
        bone                           OK, okay, well
        bone edukita                   cultivated, cultured, educated
        boneco                         goodness
        bonega                         fine, great
        bonege                         fine, very well
        boneta                         nice
        bonete                         so so
        bonfama                        of good repute
        bonfara vendo                  bazaar, fancy fair, jumble-sale
        bonfartanta                    well
        bonfarti                       be well, feel fine
        bonfarto                       well-being
        bongusta                       nice, tasty
        bongustega                     delicious
        bongusto                       good taste
        bonhava                        in easy circumstances, well-to-do
        bonhumora                      gay, merry
        bonifiko                       bonus
        bonkaraktera                   good-hearted
        bonkonduta                     sweet
        bonkora                        good-hearted, kind
        bonkvaliteco                   virtue
        bonmaniera                     courteous, polite, well-mannered
        bonmaniereco                   good breeding, refinement
        bono                           good
        bonodora                       fragrant, good-smelling, nutty
        bonodoro                       nice smell, sweet smell
        bonstata                       in good condition
        bonstato                       well-being
        bonŝance                       fortunately
        bonŝanco                       luck
        bonŝancon                      good luck
        bonulo                         nice guy
        bonvenigi                      welcome
        bonvenigo                      greeting, salutation
        bonvenon                       welcome
        bonvolo                        affection
        bonvolu                        please
        bopatrino                      mother-in-law
        bopatro                        father-in-law
        borakso                        borax
        boratingi                      bore, broach, sink, strike, tap
        bordelo                        brothel
        bordero                        border
        bordo                          bank, border, edge, shore
        Borglono                       Looz
        bori                           bore, drill
        borilo                         bore
        Borneo                         Borneo
        boro                           boron
        borso                          stock exchange
        bosna                          Bosnian
        bosnino                        Bosnian woman
        Bosnio                         Bosnia
        Bosnio-Hercegovino             Bosnia-Hercegovina
        bosno                          Bosnian
        Bosnujo                        Bosnia
        Bosporo                        Bosporus
        botaniko                       botany
        botelmalfermilo                bottle opener
        botelo                         bottle
        Botna Golfo                    Gulf of Bothnia
        boto                           boot
        botsvana                       Botswanan
        botsvananino                   Botswanan woman
        botsvanano                     Botswanan
        bova                           bovine, cow, cow-
        bovaĵo                         beef
        bovejo                         byre, cowhouse, cowshed
        bovidaĵo                       veal
        bovido                         calf
        bovino                         cow
        bovo                           bovine, bovine animal
        bovorabanto                    cattle-lifter, cattle-stealer
        bovorabisto                    cattle-lifter, cattle-stealer
        brabanta                       Brabantine
        brabantano                     Brabantine
        Brabanto                       Brabant
        braceleto                      bracelet
        bradipo                        sloth
        braĝo                          charcoal
        brajlo                         Braille, braille
        braka                          arm, arm, of an arm
        brakapogilo                    arm, arm-rest
        brakhorloĝo                    watch, wrist-watch
        brako                          arm
        brakringo                      bracelet
        brakseĝo                       armchair
        brakumi                        embrace
        bramo[1]                       bream
        bramo[2]                       topgallant mast
        branĉeto                       twig
        branĉo                         bough, branch
        branĉotranĉilo                 bill, pruning-knife
        branĉvojo                      by-way, side-way
        brando                         brandy
        brankardo                      stretcher
        branko                         gill
        brasiko                        cabbage
        brasikstumpo                   stalk of cabbage
        brava                          brave, gallant
        brazila                        Brazilian
        brazilanino                    Brazilian woman
        brazilano                      Brazilian
        Brazilo                        Brazil
        breĉi                          breach
        breĉo                          breach, gap
        bredi                          breed, keep, raise, rear
        bremsi                         brake
        bremso                         brake
        bretaro                        cabinet
        breto                          shelf
        Bretonio                       Bretagne, Brittany
        bretono                        Breton
        Bretonujo                      Bretagne, Brittany
        bridi                          bridle, check, restrain
        Bridlintono                    Bridlington
        brido                          bridle, check, restraints
        brigado                        brigade
        brika                          brick
        briketo                        bar
        briko                          brick
        brila                          bright, brilliant
        brili                          shine
        brilo                          gloss, sheen
        brita                          British
        Brita Kolombio                 British Columbia
        Britio                         Britain, Great Britain
        brito                          Briton
        Britujo                        Britain, Great Britain
        brizo                          breeze
        broĉo                          brooch
        brodi                          embroider
        Brodiko                        Brodick
        brogi                          scald
        brokanta                       second hand, secondhand
        brokanti                       deal in secondhand goods
        brokantisto                    secondhand dealer
        brokolo                        broccoli, brocoli
        bronza                         bronze
        bronzo                         bronze
        brosi                          brush
        broso                          brush
        broŝura                        paperbacked
        broŝuro                        leaflet, pamphlet, paperback
        brovo                          brow, eyebrow
        brua                           noisy
        Brugo                          Bruges
        brui                           make a noise
        brulaĵo                        fuel
        brulalkoholo                   methylated spirit
        brulavertilo                   fire-alarm, firecall
        brulbombo                      incendiary bomb
        brulema                        flammable
        brulgluiĝi                     burn
        brulgusta                      burnt
        bruli                          burn
        bruligi                        burn
        bruliĝo                        combustion
        brulligno                      firewood
        brulstampi                     brand
        brulstampilo                   branding iron
        brulstampo                     brand
        brulŝtiparo                    faggot
        brulvundi                      burn
        bruna                          brown
        Brunajo                        Brunei
        bruneja                        Bruneian
        brunejanino                    Bruneian woman
        brunejano                      Bruneian
        Brunejo                        Brunei
        brunhara                       brunette
        Brunhildo                      Brunhild, Bruennhilde
        bruno                          brown
        brunokula                      browneyed
        Brunsviko                      Brunswick
        bruo                           ado, din, noise
        brusela                        Brussels
        brusela brasiko                Brussels-sprouts
        Bruselo                        Brussels
        bruska                         abrupt
        brustangoro                    angina pectoris
        brusto                         bosom, breast, chest
        bruta                          brute, harsh
        brutaro                        livestock
        brutigi                        dull
        brutiĝi                        become dull
        bruto                          head of cattle
        bubaĉo                         naughty boy, pickle
        bubalo                         buffalo
        bubo[1]                        brat, urchin
        bubo[2]                        jack
        buĉejo                         abattoir, slaughterhouse
        buĉi                           butcher, slaughter
        buĉistbutiko                   butcher's shop
        buĉisto                        butcher
        budaismo                       Buddhism
        budaisto                       Buddhist
        Budao                          Buddha
        Budapeŝto                      Budapest
        buddhisma erao                 Buddhist Era
        Buddo                          Buddha
        budĝeto                        budget
        budo                           barn, shed, stand
        bufedo                         buffet
        bufo                           toad
        bufro                          buffer, bumper
        Bugo                           Bug
        bugri                          bugger, sodomize
        bugro                          anal sex
        buĝeta deficito                budgetary deficit
        buĝeto                         budget
        bukanisto                      buccaneer
        bukedo                         bouquet
        buki                           buckle
        bukli                          curl
        buklo                          curl
        buko                           buckle
        bukso                          box-tree
        Bukureŝto                      Bucharest
        bulbo                          bulb
        buldozo                        bulldozer
        buleto                         small ball
        bulgara                        Bulgarian
        bulgarino                      Bulgarian woman
        Bulgario                       Bulgaria
        bulgaro                        Bulgar, Bulgarian
        Bulgarujo                      Bulgaria
        buljono                        bouillon
        bulko                          roll
        bulo                           chunk, clod, lump
        bulteno                        bulletin
        bulvardo                       boulevard
        bulvolvi                       wind up
        bunkro                         bunker, shelter
        bunta                          multicoloured
        buo                            buoy
        Burdegalo                      Bordeaux
        burdo                          bumblebee
        Burgoponto                     Boroughbridge
        burgunda                       Burgundian
        burgunda vino                  burgundy
        Burgundio                      Burgundy
        burgundo                       Burgundian
        Burgundujo                     Burgundy
        burĝa                          bourgeois, middleclass
        burĝaro                        bourgeoisie
        burĝo                          middleclass citizen
        burĝoni                        bud
        burĝono                        bud
        Burkinafaso                    Upper Volta
        buro                           Boer
        burokrataro                    bureaucracy, officialdom
        burundia                       Burundian
        burundianino                   Burundian woman
        burundiano                     Burundian
        Burundio                       Burundi
        bushaltejo                     bus stop, busstop
        buso                           bus, omnibus
        busstacidomo                   bus station
        buŝa                           oral
        buŝa seksumo                   oral sex
        buŝego                         jaws, mouth, muzzle
        buŝmano                        Bushman
        buŝo                           mouth
        buŝo[1]                        mouth
        buŝo[2]                        mouth
        buŝo[3]                        mouth
        buŝpleno                       morsel, mouthful
        buŝpreno                       bite
        buŝtuko                        napkin
        buŝumi                         muzzle
        buŝumo                         muzzle
        butana                         Bhutanese
        butananino                     Bhutanese woman
        butanano                       Bhutanese
        Butano                         Bhutan
        buterigi                       churn
        butero                         butter
        buterpano                      bread and butter
        buti                           earth, earth up, hill, hill up
        butika centro                  shopping-centre
        butikisto                      shopkeeper
        butiko                         boutique, shop, store
        butikumi                       shop
        butoni                         button
        butono[1]                      button
        butono[2]                      button
        butonumi                       button
        carino                         czarina
        caro                           czar
        cedema                         accommodating
        cedemo                         accommodation
        cedi                           cede, give in, give up, give way, relinquish, yield
        cedigi                         soften up
        cedo                           abandonment
        cedra                          cedar, of a cedar
        cedro                          cedar
        cejlona                        Ceylonese
        cejlonano                      Ceylonese
        Cejlono                        Ceylon
        Celebesmaro                    Celebes Sea
        Celebeso                       Celebes
        celebrado                      celebration
        celebri                        celebrate
        celerio                        celery
        celi                           aim, intend
        celilo                         sight, gunsight
        celo                           aim, goal, purpose
        Celsiuso                       Celsius
        celtuŝi                        finish
        celulito                       cellulite
        cemento                        cement
        cendo                          cent
        cent                           hundred, one hundred
        centaŭro                       centaur
        centavo                        centavo
        centimetro                     centimeter, centimetre
        centmil                        hundred thousand
        centona bado                   one hundredth of a baht, satang
        centra                         central
        centra hejtado                 central heating
        Centrafriko                    Central African Republic
        centralo                       exchange, power station
        centro                         centre
        Centroburgo                    Middlesbrough
        cenzuri                        censor
        cenzuro                        censor
        cepo                           onion
        cerasto                        cerastes, horned viper
        Cerbero                        Cerberus
        cerbo                          brain
        cerbumaĵoj                     worries
        cerbumi                        puzzle over, rack one's brains
        ceremonia                      formal, measured, stiff
        ceremonieco                    ceremony, solemnity
        ceremonio                      ceremony
        Cereso                         Ceres
        cerio                          cerium
        cerkopiteko                    meercat
        certa                          certain, sure
        certagrade                     to a certain degree
        certe                          certainly
        certeco                        certainty
        certgrade                      to a certain degree
        certigi                        assure, certify, make certain
        cerva                          deer, deer-, of a deer
        cervido                        fawn
        cervino                        hind
        cervo                          deer
        cervoparko                     deer-park
        cetera                         additional, remaining, rest of
        cetere                         besides, for the rest, moreover, what's more
        cetero                         remainder
        Cezaro                         Caesar
        cezio                          caesium
        Character set                  ASCII
        ci                             thou, you
        cia                            your
        Cibelo                         Cybele
        cibernetiko                    cybernetics
        Cicero                         Cicero
        cico                           nipple
        cicumo                         nipple
        cidonio                        quince
        cidro                          cider
        ciferi                         figure
        cifero                         cipher, digit, figure, numeral
        ciferplato                     dial
        cigano                         gypsy, Gypsy
        cigaredo                       cigarette
        cigaredstumpo                  cigarette-end, stub
        cigareto                       cigarillo
        cigaro                         cigar
        cigarstumpo                    cigar-end, cigar-stub
        cigno                          swan
        cikatro                        scar
        Cikladoj                       Cyclades
        ciklono                        cyclone
        cikonio                        stork
        cikorio                        chicory
        cilindro                       cylinder, roller
        cimbalisto                     cymbalist
        cimbalo                        cymbal
        cimo                           bug, bedbug
        cin                            you
        cinamo                         cinnamon
        Cindra Merkredo                Ash Wednesday
        cindrigi                       incinerate
        cindro                         ash, cinder
        cindroblonda                   ash-blond, ash-blonde
        cindrogriza                    ashen
        Cindromerkredo                 Ash Wednesday
        cindrujo                       ashtray
        Cindrulino                     Cinderella
        cinika                         cynical
        cipra                          Cypriot, Cypriote
        cipranino                      Cyprian woman
        ciprano                        Cypriot, Cypriote
        cipreso                        cypres
        Cipro                          Cyprus
        cirklo                         circle
        cirko                          circus
        cirkonferenco                  circumference
        cirkonstanco                   circumstance
        cirkulado                      circulation, traffic
        cirkulanta                     about, abroad
        cirkulero                      circular
        cirkuli                        be about, circulate
        cirkumcidi                     circumcise
        cirkumcido                     circumcision
        cirkumflekso                   circumflex
        cirkvito                       circuit
        ciro                           polish, wax
        cisterno                       cistern, tank
        citadelo                       citadel
        citaĵo                         quotation
        citi                           cite, quote
        citilo                         inverted comma, quotation mark, quote
        citiloj                        quotation marks, quotes
        citro                          zither
        citrolo                        water-melon
        citronarbo                     lemon-tree
        citrono                        lemon
        citronsuko                     lemon juice
        citronujo                      lemon-tree
        civila                         civil, civilian, non-military
        civilizacio                    civilization
        civilizado                     civilization
        civilizi                       civilize
        civilizita                     civilized
        civilizo                       civilization
        civita                         civic
        civitano                       citizen
        civito                         city state
        colo                           inch
        conga lingvo                   Tsonga, Tsonga language
        congo                          Tsonga
        ĉadio                          Chad
        ĉado                           Chad
        ĉadolago                       Lake Chad
        ĉagosinsuloj                   Chagos Islands
        ĉagrena                        deplorable, pitiable, sad
        ĉagreni                        annoy, grieve, vex, worry
        ĉagreni sin                    worry oneself
        ĉagreno                        annoyance, disappointment, grief
        ĉambristino                    maid
        ĉambro                         chamber, room
        ĉambroj                        quarters
        ĉamo                           chamois
        ĉampanjo                       champagne
        ĉampano                        champagne
        ĉampinjono                     mushroom
        ĉampiono                       champion
        ĉano                           trigger
        ĉapelo                         hat
        ĉapitro                        chapter
        ĉapo                           cap
        ĉar                            as, because, for, since
        ĉareto                         carriage, typewriter carriage
        ĉarlatani                      bilk, cheat, take in
        ĉarlatano                      charlatan, imposter, quack
        ĉarma                          charming, lovely
        ĉarmega                        most charming
        ĉarmi                          charm
        ĉarmo                          charm
        ĉarniro                        hinge
        ĉaro                           cart, chariot
        ĉarpenti                       build, build from wood
        ĉarpentisto                    carpenter
        ĉarto                          charter
        ĉarumo                         wheelbarrow
        ĉasi                           chase, hunt
        ĉasisto                        hunter
        ĉaskuri                        chase, hunt for
        ĉasta                          chaste
        ĉasteco                        chastity, purity
        ĉastigi                        bowdlerize, chasten, expurgate, purify
        ĉastranĉilego                  cutlass
        ĉatrio                         chatri
        ĉe                             at, beside, with
        ĉeĉena                         Chechen
        ĉeĉenio                        Chechenia
        ĉeĉeno                         Chechen
        ĉeĉenujo                       Chechenia
        ĉeestanta                      present
        ĉeestanto                      present one
        ĉeesti                         attend, be present, witness
        ĉeesto                         presence
        ĉef-                           arch-, chief-
        ĉefa                           chief, main, major, principal
        ĉefanĝelo                      archangel
        ĉefartikolo                    leading article
